 X,Y,Z,U,V,W,R
   723.65934 ,   592.36948 ,   105.75945 ,     0.00022 ,    -0.00076 ,     0.00063 ,     4.92997
   683.28081 ,   692.01837 ,   -34.56916 ,     0.00084 ,     0.00003 ,    -0.00015 ,     4.22593
   748.77033 ,   700.42451 ,   -53.96100 ,     0.00013 ,    -0.00053 ,    -0.00012 ,     4.66717
   610.74114 ,   825.17414 ,   -84.10083 ,     0.00068 ,    -0.00048 ,     0.00017 ,     4.53819
   671.29053 ,   620.61579 ,   139.97075 ,    -0.00092 ,     0.00029 ,    -0.00005 ,     5.44663
   628.45743 ,   632.07305 ,   147.74723 ,     0.00001 ,     0.00083 ,     0.00011 ,     5.89302
   670.62411 ,   734.36034 ,    80.41878 ,    -0.00063 ,    -0.00031 ,     0.00089 ,     5.07982
   756.99675 ,   519.79522 ,   -47.83471 ,     0.00040 ,    -0.00099 ,    -0.00086 ,     4.93094
   741.77341 ,   793.48280 ,  -144.56553 ,     0.00098 ,    -0.00085 ,     0.00078 ,     4.46524
   679.17744 ,   861.80651 ,   -55.53826 ,     0.00062 ,    -0.00099 ,     0.00025 ,     5.54387
   676.59275 ,   836.66969 ,    96.18377 ,    -0.00057 ,     0.00019 ,     0.00086 ,     4.35875
   771.11802 ,   845.29164 ,    52.71407 ,     0.00090 ,    -0.00081 ,     0.00060 ,     4.30664
   744.93955 ,   717.25304 ,    27.94831 ,     0.00062 ,    -0.00051 ,    -0.00046 ,     4.11185
   686.28069 ,   859.10618 ,    15.17307 ,     0.00013 ,     0.00009 ,     0.00016 ,     4.27641
   649.68586 ,   565.04868 ,    38.12928 ,    -0.00087 ,    -0.00019 ,     0.00038 ,     5.49301
   866.17969 ,   771.26072 ,   -35.09154 ,    -0.00048 ,     0.00005 ,     0.00016 ,     5.96863
   759.87956 ,   681.11939 ,   106.99826 ,    -0.00081 ,     0.00035 ,     0.00044 ,     5.66003
   726.70265 ,   692.14370 ,   -73.24508 ,    -0.00081 ,     0.00058 ,     0.00024 ,     5.93593
   723.35627 ,   677.13484 ,     3.36066 ,    -0.00043 ,     0.00093 ,     0.00065 ,     5.00173
   711.82565 ,   763.35887 ,   -85.40288 ,    -0.00100 ,    -0.00030 ,    -0.00088 ,     5.03238
   696.17311 ,   733.25928 ,   -21.26824 ,    -0.00049 ,     0.00071 ,    -0.00070 ,     5.19294
   715.95282 ,   713.78314 ,  -142.12683 ,     0.00007 ,    -0.00059 ,    -0.00004 ,     4.06923
   736.24446 ,   761.79521 ,   106.86972 ,     0.00023 ,     0.00076 ,     0.00075 ,     5.32922
   791.39767 ,   697.22136 ,   -80.76139 ,    -0.00061 ,     0.00098 ,    -0.00047 ,     5.58591
   710.49552 ,   771.21560 ,   151.50869 ,    -0.00010 ,     0.00097 ,     0.00049 ,     5.35394
   698.20799 ,   693.45797 ,     8.35203 ,     0.00011 ,    -0.00043 ,    -0.00067 ,     4.77209
   758.09138 ,   680.14517 ,   127.80769 ,     0.00010 ,     0.00014 ,    -0.00020 ,     5.57594
   620.91262 ,   695.08202 ,     7.08009 ,    -0.00063 ,     0.00023 ,     0.00092 ,     4.95957
   552.52656 ,   741.25643 ,   -93.25697 ,     0.00068 ,    -0.00022 ,    -0.00029 ,     5.20636
   729.11089 ,   790.42386 ,     3.48052 ,    -0.00095 ,     0.00084 ,     0.00034 ,     4.22368
   729.89287 ,   720.98059 ,    16.65729 ,     0.00030 ,    -0.00067 ,     0.00034 ,     5.36436
   689.55536 ,   673.69014 ,   -10.63258 ,     0.00003 ,    -0.00059 ,     0.00067 ,     5.00280
   679.05627 ,   661.09442 ,   -76.96260 ,     0.00070 ,    -0.00098 ,    -0.00058 ,     5.67642
   631.38353 ,   683.68613 ,    -0.03380 ,     0.00075 ,    -0.00095 ,     0.00022 ,     5.57566
   698.83983 ,   715.41327 ,   -13.58311 ,     0.00062 ,    -0.00058 ,    -0.00068 ,     4.02329
   732.20678 ,   787.94456 ,    75.88214 ,     0.00013 ,     0.00098 ,    -0.00008 ,     5.24198
   697.63156 ,   696.42397 ,  -139.58728 ,     0.00031 ,     0.00031 ,     0.00035 ,     4.71859
   705.42558 ,   676.03627 ,   105.24013 ,    -0.00097 ,     0.00092 ,    -0.00077 ,     5.64552
   719.50890 ,   737.08150 ,    21.24355 ,    -0.00013 ,    -0.00010 ,    -0.00066 ,     4.34427
   743.78829 ,   709.21466 ,    20.12704 ,    -0.00005 ,    -0.00091 ,    -0.00077 ,     5.32956
   606.16789 ,   658.50619 ,   -87.94509 ,    -0.00052 ,     0.00084 ,     0.00057 ,     5.89848
   673.97076 ,   707.26398 ,    34.39980 ,     0.00027 ,    -0.00032 ,     0.00060 ,     5.96185
   730.12523 ,   834.98252 ,   -43.69062 ,     0.00095 ,     0.00009 ,    -0.00012 ,     5.09375
   594.27118 ,   698.87922 ,    51.93365 ,    -0.00073 ,     0.00088 ,     0.00061 ,     4.43663
   696.65797 ,   682.85340 ,     4.86672 ,    -0.00005 ,     0.00006 ,     0.00032 ,     4.00248
   741.41311 ,   697.66875 ,    33.17238 ,     0.00008 ,     0.00085 ,    -0.00005 ,     4.51313
   673.37124 ,   621.29868 ,   163.80901 ,     0.00082 ,     0.00085 ,    -0.00047 ,     4.65607
   674.94997 ,   684.66915 ,    90.21114 ,    -0.00044 ,     0.00031 ,     0.00010 ,     5.30040
   555.01704 ,   725.19863 ,    31.95943 ,    -0.00058 ,    -0.00028 ,    -0.00058 ,     5.57598
   655.47826 ,   763.54624 ,    60.47738 ,    -0.00077 ,     0.00069 ,    -0.00028 ,     4.97320
   681.13812 ,   705.55323 ,  -122.17294 ,     0.00048 ,     0.00075 ,    -0.00034 ,     5.90775
   721.50578 ,   706.92591 ,  -119.73444 ,     0.00060 ,    -0.00081 ,    -0.00017 ,     5.29582
   692.67940 ,   719.64620 ,    79.75895 ,    -0.00033 ,    -0.00021 ,     0.00034 ,     5.46452
   743.90614 ,   756.66481 ,   164.79996 ,     0.00037 ,     0.00008 ,    -0.00021 ,     5.67556
   665.77041 ,   627.36212 ,    37.83507 ,    -0.00030 ,     0.00074 ,     0.00065 ,     4.65266
   711.30303 ,   663.87952 ,   -43.33134 ,    -0.00017 ,    -0.00002 ,    -0.00039 ,     5.56876
   677.89613 ,   699.17482 ,   -59.17458 ,    -0.00091 ,    -0.00032 ,     0.00080 ,     5.42986
   646.46742 ,   713.56399 ,  -139.83324 ,    -0.00056 ,    -0.00092 ,     0.00070 ,     4.82278
   633.82164 ,   820.07194 ,   -79.25946 ,     0.00098 ,    -0.00079 ,     0.00076 ,     5.34501
   706.61712 ,   745.94276 ,   -49.30223 ,    -0.00023 ,    -0.00013 ,     0.00011 ,     5.19138
   717.44765 ,   683.15474 ,   -53.83313 ,     0.00039 ,     0.00020 ,     0.00095 ,     4.11548
   648.21082 ,   608.74666 ,    18.56946 ,     0.00062 ,     0.00081 ,    -0.00066 ,     5.63542
   688.38610 ,   744.57017 ,    -6.09413 ,    -0.00094 ,    -0.00004 ,     0.00071 ,     4.85215
   729.04044 ,   761.58892 ,   -19.60720 ,     0.00033 ,     0.00029 ,     0.00062 ,     4.66161
   693.79394 ,   751.76435 ,   180.03504 ,    -0.00040 ,     0.00046 ,    -0.00012 ,     5.73664
   707.85560 ,   722.37740 ,    70.42317 ,     0.00089 ,    -0.00086 ,     0.00033 ,     5.84364
   693.78255 ,   714.52144 ,    35.71680 ,    -0.00048 ,     0.00069 ,    -0.00008 ,     5.21844
   709.07218 ,   611.61440 ,  -127.18396 ,     0.00027 ,     0.00049 ,     0.00082 ,     5.92017
   670.80207 ,   743.31608 ,    14.36669 ,     0.00027 ,    -0.00088 ,     0.00090 ,     4.06489
   803.54827 ,   829.12641 ,   -66.98803 ,    -0.00004 ,    -0.00008 ,     0.00017 ,     5.26873
   711.15583 ,   743.75927 ,     6.69094 ,    -0.00074 ,    -0.00021 ,     0.00067 ,     5.89230
   768.89835 ,   840.23851 ,    20.42191 ,    -0.00051 ,    -0.00076 ,    -0.00085 ,     5.78313
   647.46546 ,   545.90309 ,    67.54140 ,    -0.00063 ,    -0.00061 ,    -0.00010 ,     5.68682
   718.12765 ,   685.67483 ,   -20.04922 ,    -0.00005 ,    -0.00042 ,     0.00060 ,     4.04959
   657.38062 ,   563.24963 ,    25.87501 ,    -0.00060 ,     0.00092 ,    -0.00093 ,     5.20962
   686.38404 ,   716.10933 ,   -30.74767 ,    -0.00024 ,    -0.00008 ,    -0.00036 ,     5.14875
   683.97579 ,   786.73627 ,    26.71982 ,     0.00073 ,    -0.00027 ,    -0.00007 ,     5.22467
   867.80826 ,   661.23041 ,    10.51575 ,     0.00065 ,     0.00062 ,    -0.00014 ,     4.66876
   679.71092 ,   695.63167 ,     0.02666 ,    -0.00037 ,     0.00065 ,    -0.00008 ,     5.33334
   716.77569 ,   719.61083 ,   -46.93686 ,     0.00011 ,    -0.00093 ,    -0.00023 ,     5.26875
   721.11419 ,   843.16326 ,    33.55120 ,    -0.00044 ,    -0.00092 ,     0.00027 ,     4.10881
   796.93872 ,   829.38466 ,   -24.79254 ,     0.00082 ,    -0.00087 ,     0.00096 ,     4.78152
   736.82278 ,   667.72690 ,  -117.01702 ,    -0.00047 ,     0.00097 ,    -0.00014 ,     5.57398
   704.35315 ,   703.37577 ,    29.90829 ,     0.00065 ,     0.00071 ,    -0.00045 ,     4.60472
   763.79514 ,   693.07958 ,    26.63778 ,     0.00001 ,    -0.00088 ,    -0.00050 ,     5.55038
   696.72670 ,   676.38180 ,  -170.99725 ,    -0.00072 ,     0.00003 ,    -0.00059 ,     4.97929
   639.36645 ,   747.44275 ,   -48.31526 ,    -0.00066 ,    -0.00056 ,     0.00038 ,     4.11818
   705.72891 ,   737.94585 ,   115.10056 ,     0.00086 ,     0.00031 ,     0.00043 ,     5.57769
   649.80424 ,   796.25746 ,    78.00206 ,     0.00084 ,     0.00072 ,    -0.00079 ,     5.79813
   592.93648 ,   623.41632 ,    22.84983 ,    -0.00021 ,    -0.00024 ,    -0.00059 ,     4.61439
   751.90440 ,   711.65610 ,  -166.62260 ,     0.00067 ,    -0.00015 ,    -0.00021 ,     4.44558
